title,price,link,parsed_at
"iPhone 13, 128 ГБ",28 990 ₽,https://www.avito.ru/sankt-peterburg/telefony/iphone_13_128_gb_sim_esim_7840510727?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 256 ГБ",28 990 ₽,https://www.avito.ru/sankt-peterburg/telefony/iphone_13_256_gb_sim_esim_7755067441?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 128 ГБ",18 990 ₽,https://www.avito.ru/rostov-na-donu/telefony/iphone_13_128_gb_7892267564?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 128 ГБ",18 990 ₽,https://www.avito.ru/ufa/telefony/iphone_13_128_gb_sim_esim_7938423182?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 128 ГБ",19 990 ₽,https://www.avito.ru/chelyabinsk/telefony/iphone_13_128_gb_8108932040?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 256 ГБ",20 990 ₽,https://www.avito.ru/ufa/telefony/iphone_13_256_gb_esim_7787184381?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 128 ГБ",19 990 ₽,https://www.avito.ru/chelyabinsk/telefony/iphone_13_128_gb_8108982855?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 128 ГБ",22 490 ₽,https://www.avito.ru/ufa/telefony/iphone_13_128_gb_7545428441?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 128 ГБ",20 490 ₽,https://www.avito.ru/perm/telefony/iphone_13_128_gb_sim_esim_7905045882?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
"iPhone 13, 128 ГБ",18 890 ₽,https://www.avito.ru/nizhniy_novgorod/telefony/iphone_13_128_gb_7792037699?context=H4sIAAAAAAAA_wE_AMD_YToyOntzOjEzOiJsb2NhbFByaW9yaXR5IjtiOjA7czoxOiJ4IjtzOjE2OiI5YzZBSk8yWkFhcEhxeGdrIjt93fUk7z8AAAA,2026-03-31 12:30:11
